Italian,English
queste,these
caso,case
forza,Force
dov',where's
tutte,all
pensi,think
signora,Lady
faccio,I do
nome,first name
avuto,had
problema,problem
altri,others
puo,can
aver,have
mondo,world
tutta,all
preso,taken 
nulla,Nothing
nostra,our
donna,woman
stare,to stay
basta,Enough
insieme,Together
faccia,face
ragazza,lass
subito,right away
famiglia,family
ragazzo,lad
volevo,I wanted
okay,okay
sentito,sense
ah,ah
stesso,same
ragione,reason
sar,sar
tuoi,yours
capito,Understood
notte,Night
volte,times
testa,head
serve,it helps
tesoro,treasure
sotto,under
eh,eh
suoi,his
vado,I go
sara,will be
dato,given
stiamo,we are
bella,Pretty
scusa,Excuse me
erano,they were
pensavo,I thought
avrei,I would have
prendere,take
buona,Good
porta,brings
bello,Handsome
moglie,wife
vorrei,I would like
storia,history
succede,happens
morto,died
cercando,looking for
dici,you say
persona,person
pronto,ready
meno,less
dovuto,due
avanti,after you
capisco,I understand
secondo,second
venire,come
polizia,police
avrebbe,it would have
stanno,they are
mentre,While
letto,Bed
fino,until
dico,I say
amici,friends
fine,end
aiuto,help
paura,fear
fratello,Brother
stavo,I was
uomini,men
nell',in the'
domani,Tomorrow
facciamo,we do
abbastanza,Enough
capo,boss
amore,Love
nei,in the
ucciso,killed
state,stay
piano,floor
macchina,machine
trovare,find
comunque,Anyway
vediamo,We see
giorni,days
nemmeno,neither
mano,hand
dall,from
presto,Soon
stati,States
merda,shit
far,do
bambino,child
andato,left
vedo,I see
tornare,return
quelle,those
cio,that is
primo,first
vostro,your
neanche,not even
sera,evening
giro,tour
morte,death
e',And'
qua,here
pensato,thought
buon,Good
anno,year
mie,my
diavolo,devil
quasi,Almost
piacere,Pleasure
bel,nice
dovrei,I should
nessun,no
contro,against
stessa,itself
felice,happy
colpa,guilt
punto,point
andata,gone
dovrebbe,should
vedi,you see
quale,Which
chiesto,asked
invece,Instead
perch,why
migliore,improve
nostri,our
finito,finished
figlia,Daughter
dovresti,you should
papa,Pope
almeno,at least
sento,I feel
quei,those
col,with the
ore,hours
passato,past
magari,Perhaps
minuti,minutes
terra,Earth
vostra,yours
strada,street
sola,alone
credi,believe
importante,important
sue,his
salve,Greetings
settimana,week
perso,lost
uscire,go out
parlato,spoke
pap,dad
stasera,this evening
scusi,Excuse me
dollari,dollars
occhi,eyes
mani,hands
ultima,last
possibile,possible
scuola,school
significa,it means
sapevo,I knew
nelle,in
potrei,I could
stava,was
bambini,children
eri,you was
importa,it matters
indietro,backwards
riesco,I am able to
sangue,blood
chiama,who loves
messo,put in order
piccolo,small
traduzione,translation
tardi,late
cuore,Heart
marito,Husband
viene,he comes
venuto,came
ieri,Yesterday
spero,I hope
ricordi,memories
quelli,those
dovremmo,we should
lasciato,left
ascolta,Listen
difficile,difficult
quell,that
auto,car
chiamato,called
ci,There
altre,other
parlando,speaking
pensare,think
fantastico,Fantastic
fatta,done
numero,number
veramente,Truly
fanno,they do
com',how's it
serio,serious
possa,can
fossi,I was
entrare,enter
anch',too
qualsiasi,any
pensa,thinks
dicendo,saying
acqua,waterfall
portato,carried
stanza,room
problemi,problems
forte,strong
nessuna,none
lascia,leaves
amo,I love
roba,stuff
agente,agent
dietro,behind
corpo,body
pare,it seems
sentire,feel
foto,photo
telefono,telephone
voleva,he wanted
poco,little
prendi,you take
piccola,small
vicino,Neighbor
quest',this
sacco,sack
stia,stay
capire,understand
potuto,could
cinque,five
strano,strange
tue,yours
andando,going
donne,women
sappiamo,we know
bravo,good boy
ragazze,girls
festa,party
senso,sense
genere,type 
quattro,four
dare,give
attimo,moment
sorella,sister
pure,mashed potato
probabilmente,probably
film,movie
parla,speaks
ufficio,office
verso,towards
mesi,months
farti,make you
unica,unique
morire,die
signorina,Miss
vecchio,old
domanda,request
ben,well
guerra,war
dottore,doctor
conosco,I know
qual,qual
vivere,live
vista,view
prova,trial
nuova,new
ricordo,I remember
divertente,fun
avessi,I had
sicura,safe
paio,pair
conto,I count
perdere,LOSE
dimmi,Tell me
farmi,make me
figli,children
mezzo,half
lavorare,work
unico,unique
esattamente,Exactly
squadra,squad
esatto,Exactly
possono,can
fate,you do
faro,lighthouse
sapete,you know
dottor,Dr
parola,word
piedi,feet
sopra,above
motivo,reason
avevi,you had
cavolo,cabbage
capitano,captain
finita,finished
volete,you want
siano,they are
potresti,you could
gioco,game
perfetto,Perfect
be,well
mente,mind
mangiare,eat
resto,rest
credere,believe
fortuna,fortune
tratta,deals with
chiamo,I'll call
morta,dead
entrambi,both
avresti,you would have
passare,pass
cena,dinner
the,the
sarei,I would be
controllo,check
affari,business
spiace,sorry
ultimo,last
facile,easy
far,do
buongiorno,Good morning
davanti,in front of
tizio,dude
dammi,give me
sicurezza,safety
dalle,give her
quanti,how many
dica,say
matrimonio,marriage
john,john
vogliono,they want
molti,many
culo,ass
fuoco,fire
cercare,look for
pistola,pistol
potremmo,we could
re,king
mandato,mandate
puttana,whore
negli,in the
cioe,Meaning what
inizio,start
saranno,they will be
causa,cause
voglia,wants
mettere,put
fammi,do for me
uccidere,kill
vogliamo,we want
faremo,we'll do it
per,For
genitori,parents
sesso,sex
potete,you can
ricevuto,received
vivo,I live
presidente,president
citt,city
citta,city
succedendo,happening
ospedale,hospital
fu,it was
agli,to
scritto,written
smettila,stop that
vada,go
attenzione,Attention
sulle,on
bere,drinking
situazione,situation
omicidio,homocide
revisione,revision
avesse,had
ottimo,Optimal
cura,treatment
durante,during
provato,tried
parole,words
lasciare,leave
dicono,they say
new,new
prossima,next
nostre,our
arrivato,arrived
paese,village
sull',on the
andate,go
chiunque,whoever
capisci,you understand
pace,peace
immagino,I imagine
musica,music
tieni,here
oddio,hate
jack,jack
libro,book
eravamo,we were
amica,friend
diventare,become
sui,on
sbagliato,wrong
dirmi,tell me
wow,wow
farai,you will do
entra,enter
venuta,coming
scelta,choice
voluto,wanted
portare,bring
assolutamente,absolutely
molte,many
chiedo,I ask
torna,come back
scoperto,discovery
fatti,facts
settimane,weeks
dirlo,say it
alcuni,some
prigione,prison
giornata,day
piuttosto,rather
buono,Good
aspettare,wait
parli,you speak
arrivare,arrive
lungo,long
vede,you see
avvocato,lawyer
deciso,decided
sarai,you will be
messaggio,message
dormire,sleep
dieci,ten
stupido,stupid
usare,use
dello,of the
cielo,sky
guardare,watch
bagno,bath
aria,air
voce,voice
tornato,got back
vuol,wants
gi,yes
conosci,you know
benissimo,Very well
prendo,I take
verita,truth
cane,dog
restare,remain
chiamare,call
poter,be able to
campo,field
luce,light
sam,sam
qualunque,anyone
giovane,young
signori,gentlemen
fra,between
provare,try
minuto,minute
saperlo,know it
lontano,distant
gruppo,group
continua,continues
arrivo,I arrive
gran,great
realta,reality
cerca,near
passo,step
domande,requests
insomma,In short
bambina,girl
pensando,thinking
capelli,hair
trova,finds
onore,honor
aiutare,help
verit,truth
prove,tests
funziona,works
alto,high
giu,below
credevo,I believed
futuro,future
preoccuparti,worry
idiota,idiot
cibo,food
fretta,rush
cara,Dear
finalmente,finally
morti,dead
odio,hate
solito,usual
brava,Good
incidente,accident
allo,at the
dev',must
intenzione,intention
speciale,special
cambiare,change
vera,true
camera,room
oltre,beyond
semplice,simple
dirti,tell you
riguardo,regard
finche,until
aspetto,I wait
viaggio,voyage
chiaro,clear
chiamata,call
bocca,mouth
permesso,permit
piacerebbe,would like
dovete,you have to
giocare,play
ordine,order
circa,about
ovviamente,Obviously
finire,finish
piu',more'
natale,Christmas
i',the'
direi,I'd say
vostri,your
occhio,eye
pronta,ready
scusami,Excuse me
mattina,morning
cercato,looked for
crede,you think
sistema,system
york,york
fondo,bottom
resta,stay
devono,they must
prossimo,next
pronti,ready
saputo,known
scusate,Excuse me
potere,candies
milioni,millions
soltanto,only
armi,weapons
arriva,he arrives
fermo,stopped
mese,month
chiedere,ask
cristo,Christ
torno,I'll be back
venite,come
controllare,check
appuntamento,appointment
s,s
chiami,who do you Love
vecchia,old
detective,detective
pero,However
metti,you put
grado,degree
vanno,they go
nave,ship
iniziato,started
perche',Why'
informazioni,information
libero,free
stronzo,asshole
grandi,large
pezzo,piece
segreto,secret
colpo,hit
faceva,he did
piacciono,they like them
porto,port
oppure,or
completamente,completely
vederti,see you
lista,list
venga,come
veloce,fast
assassino,murderer
sapeva,He knew
finch,until
tom,tom
ormai,at this point
interessa,interest
generale,general
giusta,right
tenere,hold
pazzo,crazy
vittima,victim
giuro,I swear
consiglio,advise
michael,michael
alcune,someone
semplicemente,simply
zio,Uncle
centro,center
specie,species
mille,one thousand
sogno,dream
lasci,leave
carino,cute
doveva,where you go
brutto,ugly
nello,in
aspetti,wait
incredibile,incredible
sole,Sun
glielo,him
legge,law
spesso,Often
guardate,watch
cambiato,changed
scena,scene
volevi,you wanted
charlie,charlie
lasciami,leave me
gentile,Kind
rispetto,respect
ve,ve
fara,will make
zitto,Shut up
incontro,encounter
far,do
servono,they are needed
rapporto,relationship
errore,mistake
mike,mike
sanno,they know
pagare,pay
sorpresa,surprise
occhiata,look
risposta,answer
presa,Jack
servizio,service
medico,doctor
usato,used
hey,hey
caro,Dear
schifo,disgust
avrai,you will have
dolore,ache
saresti,would you be
personale,personal
quali,which
saro,I will be
peggio,worse
addio,Goodbye
addosso,on
dovevo,I had to
poteva,he could
pieno,full
diverso,different
vestiti,clothes
sparato,shot
realt,reality
do,do
sar,sar
normale,normal
fame,hunger
programma,plan
nonna,Grandmother
sappia,know
sembrava,It seemed
migliori,better
notizie,news
avevamo,we had
riesci,are able
posizione,position
vengo,I come
rimanere,stay
compagnia,company
proposito,purpose
farci,make us
joe,joe
ricorda,remember
frank,frank
prende,takes
tante,many
avevano,they had
arrivando,arriving
chiuso,closed
terribile,terrible
ritardo,delay
attento,careful
bar,Cafe
sembri,you look
fallo,just do it
dimenticato,forgotten
bisogna,must
impossibile,impossible
cio,that is
studio,study
stessi,themselves
arma,weapon
conosce,knows
uscita,exit
ii,ii
fin,fin
disse,She said
david,david
vattene,get out
quante,how much it is
guai,trouble
intorno,environment
video,video
manca,lacks
esserci,be there
grosso,big
tanti,many
dolce,Sweet
chiave,key
cervello,brain
coraggio,courage
interessante,Interesting
peccato,Sin
questione,question
adoro,I adore
aereo,airplane
guardi,look
rubato,stolen
sala,room
base,basic
peter,peter
george,george
sette,seven
sente,hear
compleanno,birthday
potrebbero,they might
relazione,relation
cliente,customer
spalle,shoulders
seconda,second
parti,set off
vale,it's worth it
qualcun,someone
diritto,right
sicuramente,Surely
appartamento,apartment
pranzo,lunch
saremo,we will be
denaro,money
riuscito,succeeded
continuare,to continue
serata,evening
nero,black
vestito,dress
carta,paper
ex,former
dottoressa,doctor
bastardo,Bastard
potevo,I could
iniziare,start
lavora,work
otto,eight
conosciuto,known
zona,area
stavi,you were
intendo,I intend
negozio,shop
trovo,I find
aspettando,waiting
partita,match
tv,TV
spazio,space
andra,andra
notizia,news
tempi,times
linea,line
james,james
riguarda,regard
soli,alone
parliamo,let's talk
uh,uh
poliziotto,police officer
scappare,escape
fronte,forehead
vinto,won
averlo,have it
tranquillo,Calm
silenzio,silence
andati,gone
fossero,they were
simile,similar
pezzi,pieces
calma,calm
santo,holy
ricerca,research
pena,sorry
aspettate,wait
stesse,themselves
esiste,exists
scoprire,discover
altrimenti,otherwise
diceva,he said
luogo,place
lettera,letter
vive,lives
salvare,to save
canzone,song
vengono,they come
pubblico,public
senta,listen
corso,course
henry,henry
regalo,gift
sentite,listen
rimasto,remained
lavorando,working
n,n
scherzando,joking
stamattina,this morning
missione,mission
test,test
salute,Health
farebbe,would do
scelto,choice
dura,tough
computer,computer
stupida,stupid
avremmo,we would have
aiutarti,help you
contatto,contact
pericolo,danger
entro,within
parlo,I speak
alex,alex
freddo,Freddo
triste,sad
promesso,promised
esercito,army
america,America
ultimi,last
trovi,you find
dunque,so
guardia,guard
jane,jane
infatti,Indeed
possibilita,possibility
intendi,you mean
fbi,fbi
casino,casino
buonanotte,Good night
caccia,hunting
gay,gay
arrivata,arrived
lavori,jobs
max,max
certamente,Certainly
regole,rules
vostre,yours
dovrai,you will have to
secondi,seconds
ballo,dance
ascoltami,listen to me
birra,beer
ovunque,everywhere
club,club
paul,paul
arrivati,arrived
governo,government
bellissima,Extremely beautiful
oro,gold
duro,hard
cucina,Kitchen
decisione,decision
anima,soul
forma,form
tornata,returned
esempio,example
incontrato,encountered
occasione,occasion
stanotte,tonight
porti,ports
droga,drug
possibilit,possibility
cellulare,mobile phone
necessario,necessary
avremo,we'll have
ferma,stop
borsa,bag
prometto,I promise
palle,balls
nonno,grampa
piena,full
attacco,attack
dagli,give it
affatto,at all
colpito,hit
salvato,saved
siediti,sit down
reale,real
comprare,buy
inferno,hell
parlarne,talk about it
diciamo,let's say
regina,Queen
carina,nice
aperto,open
brutta,ugly
braccio,arm
fermati,stop
stavamo,we were
crimine,crime
andr,andr
chiesa,church
effetti,effects
tenente,lieutenant
sapevi,you knew
scrivere,write
scommetto,I bet
paziente,patient
scarpe,shoes
danny,danny
livello,level
fermi,stop
ia,ia
lunga,long
mentito,lied
viva,Viva
spettacolo,show
usa,USA
visita,visit
alcun,any
sarah,Sarah
precedenti,precedents
diventato,become
mica,not
sinistra,left
percio,therefore
processo,process
mare,sea
direttore,director
intelligente,intelligent
mary,mary
rende,makes
comprato,bought
classe,class
ehm,um
cambio,exchange
scorsa,last
farla,do it
bianco,white
tavolo,table
stagione,season
dite,of you
nick,nickname
dannazione,damnation
cavallo,horse
sergente,sergeant
incinta,pregnant
rotto,broken
aiuti,help
episodio,episode
rispondere,answer
contento,happy
conoscere,know
inglese,English
volo,flight
attraverso,through
riesce,succeeds
differenza,difference
apri,you open
passi,steps
uscito,released
coi,with
codice,code
lato,side
hotel,hotel
maggiore,greater
farsi,do
uniti,united
trovata,found
eccolo,there he is
carne,meat
lavorato,worked
star,star
umano,human
certa,certain
miglior,best
averti,have you
de,de
pagato,paid
libera,free
avr,will have
vorrebbe,he would
caldo,heat
pelle,skin
interno,internal
temo,I'm afraid
leggere,light
comandante,commander
cerco,I look for
avrebbero,they would have
pomeriggio,afternoon
documenti,documents
farei,I would do
giudice,judge
mostro,monster
destra,right
luna,moon
ringrazio,I thank
guardando,watching
pericoloso,dangerous
buone,good
affare,deal
figliolo,son
jake,jake
vino,wine
passa,passes
presente,present
ordini,orders
arrivederci,Until we meet again
caff,coffee
barca,boat
maledizione,curse
nuovi,new
vederlo,see him
lezione,lesson
intero,entire
dia,dia
partire,start
venuti,came
sogni,dreams
chiedendo,asking
alta,high
nord,north
pensate,think
jimmy,jimmy
parlarti,talk to you
perci,therefore
congratulazioni,Congratulations
data,date
sposato,married
gliel',give it to him
sembrare,seem
treno,train
radio,radio
comune,common
cattivo,bad
imparato,learned
smettere,quit
ottima,Great
aiutarmi,help me
ama,loves
intera,whole
responsabile,responsible
abbiano,have
lascio,I leave
farcela,do it
bomba,bomb
agenti,agents
belle,beautiful
pochi,few
san,san
clienti,clients
periodo,period
energia,power
segno,sign
mangiato,ate
calmati,take it easy
chiudi,close
posti,places
accidenti,damn!
bellissimo,Beautiful
quegli,those
dovrebbero,they should
vivi,you live
speranza,hope
rischio,risk
caffe,coffee
rosso,red
soprattutto,above all
combattere,fight
tocca,touch
operazione,operation
zia,aunt
sexy,sexy
gamba,leg
biglietto,ticket
pazza,crazy
ufficiale,official
vorresti,would you
vincere,WIN
gambe,legs
pressione,pressure
farle,do them
seguito,following
nascosto,hidden
maestro,master
fantastica,fantastic
benvenuto,welcome
and,and
sarebbero,they would be
offerta,offer
ami,do you love
vite,lives
scherzo,joke
qualcos',something
finta,fake
testimone,witness
fratelli,brothers
banca,bank
aprire,open
potesse,could
stronzate,bullshit
indirizzo,address
tale,such
ottenere,obtain
potessi,I could
jim,jim
esperienza,experience
portata,scope
messa,mass
steve,steve
piangere,cry
bill,bill
segreti,secrets
scorso,last
tony,tony
lasciate,leave
andremo,we'll go
sud,south
uccisa,killed
darmi,give me
torni,come back
pianeta,planet
darti,give you
inoltre,Furthermore
serie,series
esci,you go out
ray,ray
vittime,victims
diversi,different
porca,slut
guida,guide
prezzo,price
strana,strange
arrabbiato,angry
vecchi,old
verr,will come
orribile,horrible
gesu,Jesus
ritorno,return
entrato,entered
animali,animals
enorme,huge
metto,I put
harry,harry
passaggio,ride
imparare,learn
progetto,project
danno,harm
naturalmente,naturally
colpevole,guilty
ragazzino,little boy
metri,meters
tommy,tommy
chiavi,keys
mossa,move
finestra,window
suppongo,I presume
destino,destiny
molta,a lot
saltare,jump
correre,run
frega,screw
edificio,building
colazione,breakfast
collo,neck
difesa,defence
diro,I will say
vicini,neighbors
fiducia,trust
aiutato,helped
maggior,greatest
avermi,have me
saprei,I would know
capisce,understands
ristorante,restaurant
nomi,names
laboratorio,laboratory
scegliere,choose
comando,command
chiedi,ask
arte,art
meta,half
discorso,speech
nove,nine
avra,will have
segnale,signal
perfetta,perfect
fortunato,lucky
libri,books
carriera,career
blu,blue
cominciare,start
muro,wall
will,will
tranne,except for
bob,bob
proteggere,to protect
prendendo,taking
dubbio,doubt
dati,data
stazione,station
emergenza,emergency
giustizia,justice
immediatamente,immediately
odore,odor
umani,humans
college,college
ascolti,you listen
